name,type,value,date
"AL","Alabama",18,"2016-06-01"
"AL","Alabama",21,"2016-07-01"
"AL","Alabama",21,"2016-08-01"
"AL","Alabama",15,"2016-09-01"
"AL","Alabama",23,"2016-10-01"
"AL","Alabama",13,"2016-11-01"
"AL","Alabama",24,"2016-12-01"
"AL","Alabama",31,"2017-01-01"
"AL","Alabama",13,"2017-02-01"
"AL","Alabama",25,"2017-03-01"
"AL","Alabama",26,"2017-04-01"
"AL","Alabama",72,"2017-05-01"
"AL","Alabama",67,"2017-06-01"
"AL","Alabama",109,"2017-07-01"
"AL","Alabama",401,"2017-08-01"
"AL","Alabama",291,"2017-09-01"
"AL","Alabama",225,"2017-10-01"
"AL","Alabama",206,"2017-11-01"
"AL","Alabama",347,"2017-12-01"
"AL","Alabama",440,"2018-01-01"
"AL","Alabama",413,"2018-02-01"
"AL","Alabama",558,"2018-03-01"
"AL","Alabama",551,"2018-04-01"
"AL","Alabama",592,"2018-05-01"
"AL","Alabama",506,"2018-06-01"
"AL","Alabama",380,"2018-07-01"
"AL","Alabama",590,"2018-08-01"
"AL","Alabama",706,"2018-09-01"
"AL","Alabama",989,"2018-10-01"
"AL","Alabama",953,"2018-11-01"
"AL","Alabama",866,"2018-12-01"
"AL","Alabama",847,"2019-01-01"
"AL","Alabama",856,"2019-02-01"
"AL","Alabama",902,"2019-03-01"
"AL","Alabama",916,"2019-04-01"
"AL","Alabama",833,"2019-05-01"
"AL","Alabama",838,"2019-06-01"
"AL","Alabama",805,"2019-07-01"
"AL","Alabama",698,"2019-08-01"
"AL","Alabama",783,"2019-09-01"
"AL","Alabama",1030,"2019-10-01"
"AL","Alabama",830,"2019-11-01"
"AL","Alabama",810,"2019-12-01"
"AL","Alabama",882,"2020-01-01"
"AL","Alabama",713,"2020-02-01"
"AL","Alabama",749,"2020-03-01"
"AL","Alabama",652,"2020-04-01"
"AL","Alabama",923,"2020-05-01"
"AL","Alabama",1054,"2020-06-01"
"AL","Alabama",530,"2020-07-01"
"AL","Alabama",560,"2020-08-01"
"AL","Alabama",1092,"2020-09-01"
