Name,City,Latitude,Longitude,Group,Value
"AL","Alabama",33.0096025774613,-86.8959480810827,"Slight",114
"AL","Alabama",33.0096025774613,-86.8959480810827,"Medium",11061
"AL","Alabama",33.0096025774613,-86.8959480810827,"Serious",2226
"AL","Alabama",33.0096025774613,-86.8959480810827,"Fatal",249
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Slight",11
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Medium",2835
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Serious",75
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Fatal",268
"AZ","Arizona",33.2814071741025,-111.807817474636,"Slight",6698
"AZ","Arizona",33.2814071741025,-111.807817474636,"Medium",15578
"AZ","Arizona",33.2814071741025,-111.807817474636,"Serious",1214
"AZ","Arizona",33.2814071741025,-111.807817474636,"Fatal",700
"CA","California",35.5695149429485,-119.487669719681,"Slight",5560
"CA","California",35.5695149429485,-119.487669719681,"Medium",255006
"CA","California",35.5695149429485,-119.487669719681,"Serious",17567
"CA","California",35.5695149429485,-119.487669719681,"Fatal",2365
"CO","Colorado",39.5701572815428,-105.020594680734,"Slight",514
"CO","Colorado",39.5701572815428,-105.020594680734,"Medium",4713
"CO","Colorado",39.5701572815428,-105.020594680734,"Serious",4378
"CO","Colorado",39.5701572815428,-105.020594680734,"Fatal",748
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Slight",5
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Medium",6372
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Serious",1346
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Fatal",766
"DE","Delaware",39.5933225325301,-75.5896560580504,"Slight",7
"DE","Delaware",39.5933225325301,-75.5896560580504,"Medium",1273
"DE","Delaware",39.5933225325301,-75.5896560580504,"Serious",234
"DE","Delaware",39.5933225325301,-75.5896560580504,"Fatal",293
"FL","Florida",27.588172717162,-81.4907573383903,"Slight",2945
"FL","Florida",27.588172717162,-81.4907573383903,"Medium",111046
"FL","Florida",27.588172717162,-81.4907573383903,"Serious",9105
"FL","Florida",27.588172717162,-81.4907573383903,"Fatal",2058
"GA","Georgia",33.6046790617676,-84.012314620205,"Slight",381
"GA","Georgia",33.6046790617676,-84.012314620205,"Medium",10916
"GA","Georgia",33.6046790617676,-84.012314620205,"Serious",4691
"GA","Georgia",33.6046790617676,-84.012314620205,"Fatal",1453
"IA","Iowa",41.736603329916,-93.426426630385,"Slight",3
"IA","Iowa",41.736603329916,-93.426426630385,"Medium",2150
"IA","Iowa",41.736603329916,-93.426426630385,"Serious",594
"IA","Iowa",41.736603329916,-93.426426630385,"Fatal",328
"ID","Idaho",44.1099698640898,-115.525314149377,"Medium",2332
"ID","Idaho",44.1099698640898,-115.525314149377,"Serious",14
"ID","Idaho",44.1099698640898,-115.525314149377,"Fatal",125
"IL","Illinois",41.8543814695795,-88.0144345888154,"Slight",252
"IL","Illinois",41.8543814695795,-88.0144345888154,"Medium",6515
"IL","Illinois",41.8543814695795,-88.0144345888154,"Serious",10243
"IL","Illinois",41.8543814695795,-88.0144345888154,"Fatal",637
"IN","Indiana",39.9469523851827,-86.2183123234991,"Slight",43
"IN","Indiana",39.9469523851827,-86.2183123234991,"Medium",3611
"IN","Indiana",39.9469523851827,-86.2183123234991,"Serious",2133
"IN","Indiana",39.9469523851827,-86.2183123234991,"Fatal",507
"KS","Kansas",38.871673674367,-95.0336432572537,"Slight",5
"KS","Kansas",38.871673674367,-95.0336432572537,"Medium",1482
"KS","Kansas",38.871673674367,-95.0336432572537,"Serious",708
"KS","Kansas",38.871673674367,-95.0336432572537,"Fatal",84
"KY","Kentucky",38.3611586877473,-85.2213688948167,"Slight",34
"KY","Kentucky",38.3611586877473,-85.2213688948167,"Medium",2887
"KY","Kentucky",38.3611586877473,-85.2213688948167,"Serious",799
"KY","Kentucky",38.3611586877473,-85.2213688948167,"Fatal",103
"LA","Louisiana",30.5503656126902,-91.3440363456186,"Slight",1244
"LA","Louisiana",30.5503656126902,-91.3440363456186,"Medium",18229
"LA","Louisiana",30.5503656126902,-91.3440363456186,"Serious",2153
"LA","Louisiana",30.5503656126902,-91.3440363456186,"Fatal",345
"MA","Massachusetts",42.3453146052085,-71.233845788862,"Slight",169
"MA","Massachusetts",42.3453146052085,-71.233845788862,"Medium",4427
"MA","Massachusetts",42.3453146052085,-71.233845788862,"Serious",2172
"MA","Massachusetts",42.3453146052085,-71.233845788862,"Fatal",162
"MD","Maryland",39.1599553606917,-76.8799177102289,"Slight",273
"MD","Maryland",39.1599553606917,-76.8799177102289,"Medium",18592
"MD","Maryland",39.1599553606917,-76.8799177102289,"Serious",3073
"MD","Maryland",39.1599553606917,-76.8799177102289,"Fatal",2025
"ME","Maine",43.9782145069476,-70.0109325571493,"Medium",203
"ME","Maine",43.9782145069476,-70.0109325571493,"Serious",28
"ME","Maine",43.9782145069476,-70.0109325571493,"Fatal",6
"MI","Michigan",42.6987027767825,-83.9346043598308,"Slight",30
"MI","Michigan",42.6987027767825,-83.9346043598308,"Medium",10117
"MI","Michigan",42.6987027767825,-83.9346043598308,"Serious",2153
"MI","Michigan",42.6987027767825,-83.9346043598308,"Fatal",765
"MN","Minnesota",45.0342068342144,-93.4098704663681,"Slight",32
"MN","Minnesota",45.0342068342144,-93.4098704663681,"Medium",35591
"MN","Minnesota",45.0342068342144,-93.4098704663681,"Serious",2289
"MN","Minnesota",45.0342068342144,-93.4098704663681,"Fatal",169
"MO","Missouri",38.6934494762432,-92.299036437761,"Slight",63
"MO","Missouri",38.6934494762432,-92.299036437761,"Medium",5022
"MO","Missouri",38.6934494762432,-92.299036437761,"Serious",2936
"MO","Missouri",38.6934494762432,-92.299036437761,"Fatal",320
"MS","Mississippi",32.0844184179754,-89.7114316891201,"Slight",4
"MS","Mississippi",32.0844184179754,-89.7114316891201,"Medium",1255
"MS","Mississippi",32.0844184179754,-89.7114316891201,"Serious",296
"MS","Mississippi",32.0844184179754,-89.7114316891201,"Fatal",76
"MT","Montana",46.6747954873737,-111.781917304924,"Medium",2835
"MT","Montana",46.6747954873737,-111.781917304924,"Serious",6
"MT","Montana",46.6747954873737,-111.781917304924,"Fatal",11
"NC","North Carolina",35.5009600364599,-79.9421426816037,"Slight",1788
"NC","North Carolina",35.5009600364599,-79.9421426816037,"Medium",33328
"NC","North Carolina",35.5009600364599,-79.9421426816037,"Serious",3265
"NC","North Carolina",35.5009600364599,-79.9421426816037,"Fatal",1323
"ND","North Dakota",47.1461730521327,-99.2183392725119,"Medium",425
"ND","North Dakota",47.1461730521327,-99.2183392725119,"Serious",1
"NE","Nebraska",41.2240949636966,-96.1488469418262,"Slight",26
"NE","Nebraska",41.2240949636966,-96.1488469418262,"Medium",1340
"NE","Nebraska",41.2240949636966,-96.1488469418262,"Serious",280
"NE","Nebraska",41.2240949636966,-96.1488469418262,"Fatal",76
"NH","New Hampshire",43.1097623671443,-71.4390546672094,"Slight",1
"NH","New Hampshire",43.1097623671443,-71.4390546672094,"Medium",725
"NH","New Hampshire",43.1097623671443,-71.4390546672094,"Serious",218
"NH","New Hampshire",43.1097623671443,-71.4390546672094,"Fatal",27
"NJ","New Jersey",40.4572820133048,-74.4364184628817,"Slight",72
"NJ","New Jersey",40.4572820133048,-74.4364184628817,"Medium",13013
"NJ","New Jersey",40.4572820133048,-74.4364184628817,"Serious",2239
"NJ","New Jersey",40.4572820133048,-74.4364184628817,"Fatal",1227
"NM","New Mexico",34.9192028803743,-106.558478326758,"Slight",47
"NM","New Mexico",34.9192028803743,-106.558478326758,"Medium",720
"NM","New Mexico",34.9192028803743,-106.558478326758,"Serious",158
"NM","New Mexico",34.9192028803743,-106.558478326758,"Fatal",77
"NV","Nevada",38.5248784254517,-117.96698010815,"Slight",2
"NV","Nevada",38.5248784254517,-117.96698010815,"Medium",1331
"NV","Nevada",38.5248784254517,-117.96698010815,"Serious",149
"NV","Nevada",38.5248784254517,-117.96698010815,"Fatal",36
"NY","New York",41.6230647571055,-74.6417522642473,"Slight",708
"NY","New York",41.6230647571055,-74.6417522642473,"Medium",32300
"NY","New York",41.6230647571055,-74.6417522642473,"Serious",7089
"NY","New York",41.6230647571055,-74.6417522642473,"Fatal",2069
"OH","Ohio",40.1852988246557,-83.244893113979,"Slight",514
"OH","Ohio",40.1852988246557,-83.244893113979,"Medium",9066
"OH","Ohio",40.1852988246557,-83.244893113979,"Serious",2112
"OH","Ohio",40.1852988246557,-83.244893113979,"Fatal",641
"OK","Oklahoma",35.6688021982016,-97.0585480329135,"Slight",57
"OK","Oklahoma",35.6688021982016,-97.0585480329135,"Medium",7351
"OK","Oklahoma",35.6688021982016,-97.0585480329135,"Serious",1194
"OK","Oklahoma",35.6688021982016,-97.0585480329135,"Fatal",29
"OR","Oregon",44.5833332365359,-122.179811270788,"Slight",1267
"OR","Oregon",44.5833332365359,-122.179811270788,"Medium",32133
"OR","Oregon",44.5833332365359,-122.179811270788,"Serious",1141
"OR","Oregon",44.5833332365359,-122.179811270788,"Fatal",1458
"PA","Pennsylvania",40.262294222949,-76.4822452749142,"Slight",182
"PA","Pennsylvania",40.262294222949,-76.4822452749142,"Medium",32417
"PA","Pennsylvania",40.262294222949,-76.4822452749142,"Serious",4220
"PA","Pennsylvania",40.262294222949,-76.4822452749142,"Fatal",1979
"RI","Rhode Island",41.7988845571357,-71.4362371750566,"Slight",71
"RI","Rhode Island",41.7988845571357,-71.4362371750566,"Medium",899
"RI","Rhode Island",41.7988845571357,-71.4362371750566,"Serious",589
"RI","Rhode Island",41.7988845571357,-71.4362371750566,"Fatal",12
"SC","South Carolina",34.2239818308178,-81.2530913518712,"Slight",77
"SC","South Carolina",34.2239818308178,-81.2530913518712,"Medium",40839
"SC","South Carolina",34.2239818308178,-81.2530913518712,"Serious",2837
"SC","South Carolina",34.2239818308178,-81.2530913518712,"Fatal",578
"SD","South Dakota",43.6528527361111,-97.7313072546296,"Medium",154
"SD","South Dakota",43.6528527361111,-97.7313072546296,"Fatal",6
"TN","Tennessee",35.881023503932,-86.6450092618369,"Slight",1440
"TN","Tennessee",35.881023503932,-86.6450092618369,"Medium",17813
"TN","Tennessee",35.881023503932,-86.6450092618369,"Serious",2531
"TN","Tennessee",35.881023503932,-86.6450092618369,"Fatal",358
"TX","Texas",30.9791714865433,-97.0069261044443,"Slight",951
"TX","Texas",30.9791714865433,-97.0069261044443,"Medium",44183
"TX","Texas",30.9791714865433,-97.0069261044443,"Serious",10560
"TX","Texas",30.9791714865433,-97.0069261044443,"Fatal",1399
"UT","Utah",40.4036011647639,-111.920108033184,"Slight",390
"UT","Utah",40.4036011647639,-111.920108033184,"Medium",12054
"UT","Utah",40.4036011647639,-111.920108033184,"Serious",1196
"UT","Utah",40.4036011647639,-111.920108033184,"Fatal",172
"VA","Virginia",37.9419943076036,-77.5928670160816,"Slight",1720
"VA","Virginia",37.9419943076036,-77.5928670160816,"Medium",32424
"VA","Virginia",37.9419943076036,-77.5928670160816,"Serious",4927
"VA","Virginia",37.9419943076036,-77.5928670160816,"Fatal",2055
"VT","Vermont",43.8103409851024,-72.791222867784,"Medium",89
"VT","Vermont",43.8103409851024,-72.791222867784,"Serious",30
"VT","Vermont",43.8103409851024,-72.791222867784,"Fatal",9
"WA","Washington",47.4984022015061,-122.116180571883,"Slight",500
"WA","Washington",47.4984022015061,-122.116180571883,"Medium",6610
"WA","Washington",47.4984022015061,-122.116180571883,"Serious",2199
"WA","Washington",47.4984022015061,-122.116180571883,"Fatal",441
"WI","Wisconsin",43.365760925367,-88.618120689395,"Slight",32
"WI","Wisconsin",43.365760925367,-88.618120689395,"Medium",1066
"WI","Wisconsin",43.365760925367,-88.618120689395,"Serious",1119
"WI","Wisconsin",43.365760925367,-88.618120689395,"Fatal",247
"WV","West Virginia",38.7016900993456,-80.9885901466389,"Slight",1
"WV","West Virginia",38.7016900993456,-80.9885901466389,"Medium",1194
"WV","West Virginia",38.7016900993456,-80.9885901466389,"Serious",34
"WV","West Virginia",38.7016900993456,-80.9885901466389,"Fatal",69
"WY","Wyoming",42.1089428190709,-107.00666292665,"Medium",6
"WY","Wyoming",42.1089428190709,-107.00666292665,"Serious",2
"WY","Wyoming",42.1089428190709,-107.00666292665,"Fatal",10
